অকর্মক সকর্মক
সন্নিধান ব্যবধান
সুগম দুর্গম
সংক্ষেপ বিস্তার
সফল বিফল
সুন্দর কুৎসিত
সংক্ষেপিত বিস্তারিত
সবল দুর্বল
সুদর্শন কুদর্শন
সংগত অসংগত
সবাক নির্বাক
সুধা জাগ্রত
সংযত অসংযত
সমতল অসমতল
সুপ্ত জাগ্রত
সংযুক্ত বিযুক্ত
সমষ্টি ব্যষ্টি
সুয়ো দুয়ো
সংযোগ বিয়োগ
সমাপিকা অসমাপিকা
সুশীল দুঃশীল
সংযোজন বিয়োজন
সমাপ্ত আরম্ভ
সুশ্রী কুশ্রী
সংশ্লিষ্ট বিশ্লিষ্ট
সম্পদ বিপদ
সুষম অসম
সংশ্লেষণ বিশ্লেষণ
সম্প্রসারণ সংকোচন
সুসহ দুঃসহ
সংহত বিভক্ত
সম্মুখ পশ্চাত
সুস্থ দুস্থ
সংহতি বিভক্তি
সরব নিরব
সূক্ষ্ম স্থূল
সকর্মক অকর্মক
সরল কুটিল/জটিল
সৃষ্টি ধ্বংস
সকাল বিকাল
সশস্ত্র নিরস্ত্র
সৌখিন পেশাদার
সক্রিয় নিষ্ক্রিয়
সস্তা আক্রা
সৌভাগ্যবান দুর্ভাগ্যবান/ভাগ্যহত
সক্ষম অক্ষম
সসীম অসীম
স্তুতি নিন্দা
সচল নিশ্চল
সহযোগ অসহযোগ
স্তাবক নিন্দুক
সচেতন অচেতন
সহিষ্ণু অসহিষ্ণু
স্থাবর জঙ্গম
সচেষ্ট নিশ্চেষ্ট
সাঁঝ সকাল
স্থলভাগ জলভাগ
সচ্চরিত্র দুশ্চরিত্র
সাকার নিরাকার
স্নিগ্ধ রুক্ষ
সজাগ নিদ্রিত
সাক্ষর নিরক্ষর
স্বনামী বেনামী
সজ্জন দুর্জন
সাদৃশ্য বৈসাদৃশ্য
স্বর্গ নরক
সজ্ঞান অজ্ঞান
সাফল্য ব্যর্থতা
স্বাতন্ত্র্য সাধারণত্ব
সঞ্চয় অপচয়
সাবালক নাবালক
স্বাধীন পরাধীন
সতী অসতী
সাবালিকা নাবালিকা
স্বার্থপর পরার্থপর
সত্বর ধীর
সাম্য বৈষম্য
স্মৃতি বিস্মৃতি
সদয় নির্দয়
সার অসার
স্থির অস্থির
সদর অন্দর
সার্থক নিরর্থক
সদাচার কদাচার
সাহসী ভীরু
হরণ পূরণ
হাল সাবেক
হৃদ্যতা শত্রুতা
হর্ষ বিষাদ
হালকা ভারি
হ্রস্ব দীর্ঘ
হাজির গরহাজির
হিত অহিত
হ্রাস বৃদ্ধি
হার জিত
হিসেবি বেহিসেবি
ভাল খারাপ
ভাল মন্দ
